year_month,S&P_Open,S&P_Close,S&P_Volume,Close_t-1,return(%),return_class,Close_t+1,t+1_return(%),t+1_return_class,t_3m_Close,t_10y_Close,cpi_Value,cpi_MoM%,oil_Price,unemp_rate,PE_Ratio,EY_Ratio,Put/Call_Ratio,R_Open,R_Close,R_Volume,G_Open,G_Close,G_Volume,GF_Open,GF_Close,GF_Volume,Nas_Open,Nas_Close,Nas_Volume,Nk_Open,Nk_Close,Nk_Volume,fx_Price,fx_change%,vo_Open,vo_Close,Div_Ratio,CS_Index
2022-9,3936.73,3908.19,7889490000.0,3955.0,-1.1835651074589113,1,,,,2.265,2.606,295.271,0.0,93.91095238095238,3.5,20.04,4.99,1.405,1826.75,1792.319946,0.0,1763.9,1769.0,705.0,1707.9,1700.4,1047.0,11707.44043,11544.910156,1152920000,27797.0,27626.509766,221100000,1.314,0.1,26.879999,26.91,64.01,51.5
2022-8,4112.38,3955.0,78088520000.0,4130.29,-4.244011921681044,0,3908.19,-1.1835651074589113,1.0,2.265,2.606,295.271,0.0,93.91095238095238,3.5,20.93,4.78,1.395217391304348,1870.48999,1844.119995,78088520000.0,1763.9,1769.0,705.0,1763.9,1712.8,11161.0,12317.959961,11816.200195,109521110000,27813.820313,28091.529297,1397800000,1.3127,2.61,22.41,25.870001,64.01,51.5
2022-7,3781.0,4130.29,68021140000.0,3785.38,9.111634763220597,2,3955.0,-4.244011921681044,0.0,1.603,2.889,295.271,0.0,101.619,3.5,19.77,5.06,1.386,1705.069946,1885.22998,64882680000.0,1795.5,1798.9,77.0,1795.5,1762.9,194989.0,11006.830078,12390.69043,93619410000,26460.710938,27801.640625,1339300000,1.2793,-0.61,29.530001,21.33,64.01,51.5
2022-6,4149.78,3785.38,86799060000.0,4132.15,-8.39199932238664,0,4130.29,9.111634763220597,2.0,1.103,2.931,295.328,0.0,114.83714285714285,3.6,19.7,5.08,1.4690476190476192,1871.459961,1707.98999,86799060000.0,1831.0,1843.3,1623.0,1831.0,1804.1,7851.0,12176.889648,11028.740234,113344650000,27295.630859,26393.039063,1637700000,1.2872,1.8,26.049999,28.709999,64.01,50.0
2022-5,4130.61,4132.15,89128130000.0,4131.93,0.005324388360871195,1,3785.38,-8.39199932238664,0.0,0.5,2.377,291.474,1.3,109.55238095238094,3.6,20.42,4.9,1.5604761904761906,1863.660034,1864.040039,89128130000.0,1935.0,1919.1,1016.0,1935.0,1909.3,7725.0,12331.69043,12081.389648,110947710000,26851.099609,27279.800781,1582900000,1.2644,-1.65,33.349998,26.190001,64.2,58.4
2022-4,4540.32,4131.93,74784850000.0,4530.41,-8.79567191490394,0,4132.15,0.005324388360871195,1.0,0.5,2.377,288.663,1.0,101.7775,3.6,22.19,4.51,1.7875,2071.219971,1864.099976,74784850000.0,1935.0,1919.1,1016.0,1935.0,1909.3,7725.0,14269.530273,12334.639648,95994300000,27624.109375,26847.900391,1345900000,1.2856,2.86,20.620001,33.400002,64.21,65.2
2022-3,4363.14,4530.41,100978320000.0,4373.94,3.577323877327999,2,4131.93,-8.79567191490394,0.0,0.313,1.707,287.708,0.3,108.50260869565217,3.6,22.19,4.51,1.7200000000000002,2047.23999,2070.129883,100978320000.0,1908.3,1942.4,547.0,1908.3,1949.2,157864.0,13716.700195,14220.519531,130226950000,26836.740234,27821.429688,1882500000,1.2499,-1.39,29.450001,20.559999,63.86,59.4
2022-2,4519.57,4373.94,73167790000.0,4515.55,-3.136052086678269,0,4530.41,3.577323877327999,2.0,0.203,1.8,284.182,1.2,91.64105263157894,3.8,22.42,4.46,1.5826315789473684,2028.780029,2048.090088,73167790000.0,1797.2,1800.3,223.0,1797.2,1899.4,9510.0,14277.429688,13751.400391,89103860000,27167.140625,26526.820313,1390900000,1.2675,-0.24,24.57,30.15,64.17,62.8
2022-1,4778.14,4515.55,73279440000.0,4766.18,-5.258508910699976,0,4373.94,-3.136052086678269,0.0,0.05,1.434,281.933,0.8,83.22200000000001,4.0,23.11,4.33,1.734,2246.709961,2028.449951,73279440000.0,1774.8,1781.6,1128.0,1830.1,1795.0,232014.0,15732.5,14239.879883,99683390000,29098.410156,27001.980469,1387900000,1.2705,0.56,17.6,24.83,64.2,67.2
2021-12,4602.82,4766.18,68699830000.0,4567.0,4.36128749726298,2,4515.55,-5.258508910699976,0.0,0.05,1.434,280.126,0.6,71.71181818181819,3.9,23.63,4.23,1.8531818181818183,2203.120117,2245.310059,68699830000.0,1774.8,1781.6,1128.0,1774.8,1827.5,10803.0,15752.269531,15644.969727,103643460000,27866.730469,28791.710938,1284100000,1.2634,-1.11,24.92,17.219999,64.18,70.6
