Series Id,Year,Period,Value,1-Month percent change
CUSR0000SA0,1947,M01,21.48,0.7
CUSR0000SA0,1947,M02,21.62,1.8
CUSR0000SA0,1947,M03,22,0
CUSR0000SA0,1947,M04,22,-0.2
CUSR0000SA0,1947,M05,21.95,0.6
CUSR0000SA0,1947,M06,22.08,0.7
CUSR0000SA0,1947,M07,22.23,0.8
CUSR0000SA0,1947,M08,22.4,2
CUSR0000SA0,1947,M09,22.84,0.3
CUSR0000SA0,1947,M10,22.91,0.7
CUSR0000SA0,1947,M11,23.06,1.5
CUSR0000SA0,1947,M12,23.41,1.2
CUSR0000SA0,1948,M01,23.68,0
CUSR0000SA0,1948,M02,23.67,-0.7
CUSR0000SA0,1948,M03,23.5,1.4
CUSR0000SA0,1948,M04,23.82,0.8
CUSR0000SA0,1948,M05,24.01,0.6
CUSR0000SA0,1948,M06,24.15,1
CUSR0000SA0,1948,M07,24.4,0.1
CUSR0000SA0,1948,M08,24.43,-0.3
CUSR0000SA0,1948,M09,24.36,-0.2
CUSR0000SA0,1948,M10,24.31,-0.6
CUSR0000SA0,1948,M11,24.16,-0.5
CUSR0000SA0,1948,M12,24.05,-0.2
CUSR0000SA0,1949,M01,24.01,-0.4
CUSR0000SA0,1949,M02,23.91,0
CUSR0000SA0,1949,M03,23.91,0
CUSR0000SA0,1949,M04,23.92,0
CUSR0000SA0,1949,M05,23.91,0
CUSR0000SA0,1949,M06,23.92,-0.9
CUSR0000SA0,1949,M07,23.7,0
CUSR0000SA0,1949,M08,23.7,0.2
CUSR0000SA0,1949,M09,23.75,-0.3
CUSR0000SA0,1949,M10,23.67,0.1
CUSR0000SA0,1949,M11,23.7,-0.4
CUSR0000SA0,1949,M12,23.61,-0.4
CUSR0000SA0,1950,M01,23.51,0.4
CUSR0000SA0,1950,M02,23.61,0.1
CUSR0000SA0,1950,M03,23.64,0
CUSR0000SA0,1950,M04,23.65,0.5
CUSR0000SA0,1950,M05,23.77,0.5
CUSR0000SA0,1950,M06,23.88,0.8
CUSR0000SA0,1950,M07,24.07,0.5
CUSR0000SA0,1950,M08,24.2,0.6
CUSR0000SA0,1950,M09,24.34,0.7
CUSR0000SA0,1950,M10,24.5,0.4
CUSR0000SA0,1950,M11,24.6,1.5
CUSR0000SA0,1950,M12,24.98,1.6
CUSR0000SA0,1951,M01,25.38,1.8
CUSR0000SA0,1951,M02,25.83,0.2
CUSR0000SA0,1951,M03,25.88,0.2
CUSR0000SA0,1951,M04,25.92,0.3
CUSR0000SA0,1951,M05,25.99,-0.2
CUSR0000SA0,1951,M06,25.93,-0.1
CUSR0000SA0,1951,M07,25.91,-0.2
CUSR0000SA0,1951,M08,25.86,0.7
CUSR0000SA0,1951,M09,26.03,0.5
CUSR0000SA0,1951,M10,26.16,0.6
CUSR0000SA0,1951,M11,26.32,0.6
CUSR0000SA0,1951,M12,26.47,-0.1
CUSR0000SA0,1952,M01,26.45,-0.2
CUSR0000SA0,1952,M02,26.41,-0.1
CUSR0000SA0,1952,M03,26.39,0.3
CUSR0000SA0,1952,M04,26.46,0
CUSR0000SA0,1952,M05,26.47,0.2
CUSR0000SA0,1952,M06,26.53,0.6
CUSR0000SA0,1952,M07,26.68,0
CUSR0000SA0,1952,M08,26.69,-0.2
CUSR0000SA0,1952,M09,26.63,0.2
CUSR0000SA0,1952,M10,26.69,0
CUSR0000SA0,1952,M11,26.69,0.1
CUSR0000SA0,1952,M12,26.71,-0.3
CUSR0000SA0,1953,M01,26.64,-0.2
CUSR0000SA0,1953,M02,26.59,0.2
CUSR0000SA0,1953,M03,26.63,0.2
CUSR0000SA0,1953,M04,26.69,0
CUSR0000SA0,1953,M05,26.7,0.3
CUSR0000SA0,1953,M06,26.77,0.1
CUSR0000SA0,1953,M07,26.79,0.2
CUSR0000SA0,1953,M08,26.85,0.1
CUSR0000SA0,1953,M09,26.89,0.2
CUSR0000SA0,1953,M10,26.95,-0.4
CUSR0000SA0,1953,M11,26.85,0.1
CUSR0000SA0,1953,M12,26.87,0.3
CUSR0000SA0,1954,M01,26.94,0.2
CUSR0000SA0,1954,M02,26.99,-0.2
CUSR0000SA0,1954,M03,26.93,-0.3
CUSR0000SA0,1954,M04,26.86,0.3
CUSR0000SA0,1954,M05,26.93,0
CUSR0000SA0,1954,M06,26.94,-0.3
CUSR0000SA0,1954,M07,26.86,0
CUSR0000SA0,1954,M08,26.85,-0.1
CUSR0000SA0,1954,M09,26.81,-0.3
CUSR0000SA0,1954,M10,26.72,0.2
CUSR0000SA0,1954,M11,26.78,0
CUSR0000SA0,1954,M12,26.77,0
CUSR0000SA0,1955,M01,26.77,0.2
CUSR0000SA0,1955,M02,26.82,-0.1
CUSR0000SA0,1955,M03,26.79,0
CUSR0000SA0,1955,M04,26.79,-0.1
CUSR0000SA0,1955,M05,26.77,-0.2
CUSR0000SA0,1955,M06,26.71,0.2
CUSR0000SA0,1955,M07,26.76,-0.1
CUSR0000SA0,1955,M08,26.72,0.5
CUSR0000SA0,1955,M09,26.85,-0.1
CUSR0000SA0,1955,M10,26.82,0.2
CUSR0000SA0,1955,M11,26.88,0
CUSR0000SA0,1955,M12,26.87,-0.1
CUSR0000SA0,1956,M01,26.83,0.1
CUSR0000SA0,1956,M02,26.86,0.1
CUSR0000SA0,1956,M03,26.89,0.1
CUSR0000SA0,1956,M04,26.93,0.4
CUSR0000SA0,1956,M05,27.03,0.4
CUSR0000SA0,1956,M06,27.15,0.5
CUSR0000SA0,1956,M07,27.29,0.1
CUSR0000SA0,1956,M08,27.31,0.1
CUSR0000SA0,1956,M09,27.35,0.6
CUSR0000SA0,1956,M10,27.51,0
CUSR0000SA0,1956,M11,27.51,0.4
CUSR0000SA0,1956,M12,27.63,0.1
CUSR0000SA0,1957,M01,27.67,0.5
CUSR0000SA0,1957,M02,27.8,0.2
CUSR0000SA0,1957,M03,27.86,0.3
