,Date,S&P_Open,S&P_Close,S&P_Volume,PRIME,t_3m_Close,t_10y_Close,cpi_Value,cpi_MoM%,oil_Price,unemp_rate,PE_Ratio,Div_Ratio,EY_Ratio,CS_Index,vo_Open,vo_Close,GF_Open,GF_Close,GF_Volume,Nas_Open,Nas_Close,Nas_Volume,Nk_Open,Nk_Close,Nk_Volume,fx_Price,fx_change%,Close_t-1,return(%),return_class,Close_t+1,return(%)_t+1,return_class_t+1
1,2022-09-01,3936.73,3966.85,3754570000.0,5.5,2.86,3.133,295.271,0.0,97.4,3.5,20.04,64.01,4.99,50.0,26.879999,25.559999,1707.9,1696.6,683.0,11707.44043,11785.129883,405310000.0,27797.0,27661.470703,68900000.0,1.3152,0.19,3955.0,0.29962073324904953,0,3924.26,-1.0736478566116614,-1
2,2022-08-31,4000.67,3955.0,3797860000.0,5.5,2.86,3.133,295.271,0.0,97.4,3.5,19.98,64.01,5.0,50.0,25.860001,25.870001,1718.3,1712.8,2133.0,11972.55957,11816.200195,4911500000.0,27928.089844,28091.529297,86200000.0,1.3127,0.27,3986.16,-0.781704698255962,-1,3966.85,0.29962073324904953,0
3,2022-08-30,4041.25,3986.16,3190580000.0,5.5,2.873,3.11,295.271,0.0,97.4,3.5,20.93,64.01,4.78,50.0,25.75,26.209999,1736.4,1723.2,385.0,12093.05957,11883.139648,4630720000.0,28086.720703,28195.580078,60700000.0,1.3092,0.62,4030.61,-1.102810740805989,-1,3955.0,-0.781704698255962,-1
4,2022-08-29,4034.58,4030.61,2963020000.0,5.5,2.798,3.11,295.271,0.0,97.4,3.5,20.93,64.01,4.78,50.0,26.860001,26.209999,1732.4,1736.6,950.0,12021.049805,12017.669922,4183740000.0,28161.060547,27878.960938,64100000.0,1.3011,-0.17,4057.66,-0.6666403789376076,-1,3986.16,-1.102810740805989,-1
5,2022-08-26,4198.74,4057.66,3175260000.0,5.5,2.755,3.035,295.271,0.0,93.63,3.5,20.93,64.01,4.78,50.0,22.07,25.559999,1754.0,1736.1,202.0,12630.580078,12141.709961,4510480000.0,28639.470703,28641.380859,49100000.0,1.3033,0.84,4199.12,-3.368801082131495,-1,4030.61,-0.6666403789376076,-1
6,2022-08-25,4153.26,4199.12,2976050000.0,5.5,2.73,3.026,295.271,0.0,93.33,3.5,20.93,64.01,4.78,50.0,22.41,21.780001,1761.6,1757.7,172.0,12506.370117,12639.269531,4290090000.0,28415.109375,28479.009766,53700000.0,1.2924,-0.32,4140.77,1.4091582000449059,1,4057.66,-3.368801082131495,-1
7,2022-08-24,4126.55,4140.77,3056910000.0,5.5,2.713,3.106,295.271,0.0,95.52,3.5,20.93,64.01,4.78,50.0,24.370001,22.82,1745.0,1747.8,187.0,12375.150391,12431.530273,3896570000.0,28481.339844,28313.470703,62000000.0,1.2965,0.1,4128.73,0.29161509713642875,0,4199.12,1.4091582000449059,1
8,2022-08-23,4133.09,4128.73,3117800000.0,5.5,2.703,3.054,295.271,0.0,96.46,3.5,20.93,64.01,4.78,50.0,24.129999,24.110001,1738.0,1746.8,509.0,12380.370117,12381.299805,3815730000.0,28580.199219,28452.75,55700000.0,1.2952,-0.8,4137.99,-0.22378014446627997,0,4140.77,0.29161509713642875,0
9,2022-08-22,4195.08,4137.99,3365220000.0,5.5,2.648,3.037,295.271,0.0,93.42,3.5,20.93,64.01,4.78,50.0,22.41,23.799999,1740.5,1734.0,347.0,12523.160156,12381.570313,4242600000.0,28654.070313,28794.5,49200000.0,1.3057,0.49,4228.48,-2.1400124867564654,-1,4128.73,-0.22378014446627997,0
10,2022-08-19,4266.31,4228.48,3210680000.0,5.5,2.58,2.989,295.271,0.0,93.55,3.5,20.93,64.01,4.78,50.0,20.16,20.6,1753.7,1747.6,49.0,12832.269531,12705.219727,4591500000.0,29095.710938,28930.330078,48400000.0,1.2993,0.36,4283.74,-1.2899942573545597,-1,4137.99,-2.1400124867564654,-1
