Date,Value
2022-06-30,64.01
2022-05-31,64.2
2022-04-30,64.21
2022-03-31,63.86
2022-02-28,64.17
2022-01-31,64.2
2021-12-31,64.18
2021-11-30,63.97
2021-10-31,63.88
2021-09-30,64.0
2021-08-31,63.67
2021-07-31,63.3
2021-06-30,63.1
2021-05-31,63.6
2021-04-30,64.03
2021-03-31,64.47
2021-02-28,65.16
2021-01-31,65.76
2020-12-31,66.29
2020-11-30,66.57
2020-10-31,66.75
2020-09-30,66.99
2020-08-31,67.4
2020-07-31,67.93
2020-06-30,68.59
2020-05-31,68.93
2020-04-30,68.89
2020-03-31,68.39
2020-02-29,67.73
2020-01-31,67.4
2019-12-31,67.15
2019-11-30,66.69
2019-10-31,66.27
2019-09-30,66.03
2019-08-31,65.64
2019-07-31,65.2
2019-06-30,64.86
2019-05-31,64.44
2019-04-30,64.13
2019-03-31,64.03
2019-02-28,63.93
2019-01-31,63.73
2018-12-31,63.38
2018-11-30,62.63
2018-10-31,61.87
2018-09-30,61.43
2018-08-31,60.97
2018-07-31,60.48
2018-06-30,59.95
2018-05-31,59.66
2018-04-30,59.52
2018-03-31,59.36
2018-02-28,59.07
2018-01-31,58.92
2017-12-31,58.81
2017-11-30,58.47
2017-10-31,58.17
2017-09-30,57.83
2017-08-31,57.75
2017-07-31,57.54
2017-06-30,57.11
2017-05-31,56.83
2017-04-30,56.54
2017-03-31,56.37
2017-02-28,56.14
2017-01-31,56.03
2016-12-31,56.08
2016-11-30,55.82
2016-10-31,55.46
2016-09-30,55.25
2016-08-31,55.16
2016-07-31,54.97
2016-06-30,54.65
2016-05-31,54.59
2016-04-30,54.57
2016-03-31,54.59
2016-02-29,54.62
2016-01-31,54.46
2015-12-31,54.35
2015-11-30,53.8
2015-10-31,53.32
2015-09-30,52.93
2015-08-31,52.53
2015-07-31,52.14
2015-06-30,51.82
2015-05-31,51.62
2015-04-30,51.49
2015-03-31,51.2
2015-02-28,50.93
2015-01-31,50.58
2014-12-31,49.77
2014-11-30,49.09
2014-10-31,48.43
2014-09-30,47.91
2014-08-31,47.49
2014-07-31,46.95
2014-06-30,46.47
2014-05-31,46.07
2014-04-30,45.76
2014-03-31,45.42
2014-02-28,45.2
2014-01-31,44.84
2013-12-31,44.49
2013-11-30,44.23
2013-10-31,43.89
2013-09-30,43.53
2013-08-31,43.1
2013-07-31,42.67
2013-06-30,42.21
2013-05-31,41.82
2013-04-30,41.41
2013-03-31,40.87
2013-02-28,40.61
2013-01-31,40.57
2012-12-31,40.32
2012-11-30,39.5
2012-10-31,38.61
2012-09-30,37.88
2012-08-31,37.51
2012-07-31,37.17
2012-06-30,36.56
2012-05-31,36.09
2012-04-30,35.64
2012-03-31,35.33
2012-02-29,35.19
2012-01-31,34.94
2011-12-31,34.69
2011-11-30,34.06
2011-10-31,33.49
2011-09-30,32.88
2011-08-31,32.57
2011-07-31,32.29
2011-06-30,31.95
2011-05-31,31.52
2011-04-30,31.27
2011-03-31,31.07
2011-02-28,31.05
2011-01-31,30.89
2010-12-31,30.72
2010-11-30,30.61
2010-10-31,30.45
2010-09-30,30.32
2010-08-31,30.19
2010-07-31,30.09
2010-06-30,29.95
2010-05-31,29.87
2010-04-30,29.83
2010-03-31,29.82
2010-02-28,30.17
2010-01-31,30.41
2009-12-31,30.74
2009-11-30,31.37
2009-10-31,32.07
2009-09-30,32.79
2009-08-31,33.58
2009-07-31,34.44
2009-06-30,35.16
2009-05-31,36.22
2009-04-30,37.1
2009-03-31,37.96
2009-02-28,38.58
2009-01-31,39.3
2008-12-31,40.01
2008-11-30,39.81
2008-10-31,39.26
2008-09-30,39.07
2008-08-31,38.96
2008-07-31,38.74
2008-06-30,38.88
2008-05-31,39.08
2008-04-30,39.22
2008-03-31,39.27
2008-02-29,39.34
2008-01-31,39.19
2007-12-31,39.12
2007-11-30,38.74
2007-10-31,38.61
2007-09-30,38.34
2007-08-31,38.06
2007-07-31,37.61
2007-06-30,37.21
2007-05-31,36.96
2007-04-30,36.87
2007-03-31,36.78
2007-02-28,36.82
2007-01-31,36.72
2006-12-31,36.53
2006-11-30,36.2
2006-10-31,35.76
2006-09-30,35.19
2006-08-31,34.69
2006-07-31,34.44
2006-06-30,34.22
2006-05-31,33.97
2006-04-30,33.82
2006-03-31,33.79
2006-02-28,33.69
2006-01-31,33.48
2005-12-31,33.45
2005-11-30,32.94
2005-10-31,32.3
2005-09-30,32.0
2005-08-31,32.12
2005-07-31,32.0
2005-06-30,31.87
2005-05-31,31.54
2005-04-30,31.15
2005-03-31,31.0
2005-02-28,30.84
2005-01-31,30.61
2004-12-31,30.27
2004-11-30,30.01
2004-10-31,29.89
2004-09-30,29.9
2004-08-31,29.67
2004-07-31,29.39
2004-06-30,29.05
2004-05-31,28.84
2004-04-30,28.71
2004-03-31,28.5
2004-02-29,28.34
2004-01-31,28.15
2003-12-31,27.95
2003-11-30,27.49
2003-10-31,26.99
2003-09-30,26.53
2003-08-31,26.39
2003-07-31,26.27
2003-06-30,26.07
2003-05-31,26.13
2003-04-30,26.12
2003-03-31,26.1
2003-02-28,26.17
2003-01-31,26.29
2002-12-31,26.33
2002-11-30,26.12
2002-10-31,25.97
2002-09-30,25.86
2002-08-31,26.04
2002-07-31,26.25
2002-06-30,26.41
2002-05-31,26.26
2002-04-30,26.09
2002-03-31,26.06
2002-02-28,26.22
2002-01-31,26.33
2001-12-31,26.39
2001-11-30,26.29
2001-10-31,26.24
2001-09-30,26.15
2001-08-31,26.24
2001-07-31,26.21
2001-06-30,26.11
2001-05-31,26.31
2001-04-30,26.59
2001-03-31,26.86
2001-02-28,27.09
2001-01-31,27.36
2000-12-31,27.71
2000-11-30,27.73
2000-10-31,27.79
2000-09-30,27.88
2000-08-31,28.23
2000-07-31,28.44
2000-06-30,28.71
2000-05-31,28.89
2000-04-30,28.96
2000-03-31,29.01
2000-02-29,29.21
2000-01-31,29.34
1999-12-31,29.38
1999-11-30,29.35
1999-10-31,29.34
1999-09-30,29.36
1999-08-31,29.39
1999-07-31,29.35
1999-06-30,29.32
1999-05-31,29.32
1999-04-30,29.32
1999-03-31,29.54
1999-02-28,29.47
1999-01-31,29.36
1998-12-31,29.28
1998-11-30,29.23
1998-10-31,29.19
1998-09-30,29.23
1998-08-31,29.15
1998-07-31,29.07
1998-06-30,28.99
1998-05-31,28.84
1998-04-30,28.71
1998-03-31,28.57
1998-02-28,28.54
1998-01-31,28.5
1997-12-31,28.46
1997-11-30,28.33
1997-10-31,28.21
1997-09-30,28.18
1997-08-31,28.15
1997-07-31,28.09
1997-06-30,28.02
1997-05-31,27.99
1997-04-30,27.91
1997-03-31,27.89
1997-02-28,27.86
1997-01-31,27.84
1996-12-31,27.83
1996-11-30,27.69
1996-10-31,27.59
1996-09-30,27.53
1996-08-31,27.37
1996-07-31,27.18
1996-06-30,26.99
1996-05-31,26.9
1996-04-30,26.84
1996-03-31,26.84
1996-02-29,26.78
1996-01-31,26.66
1995-12-31,26.61
1995-11-30,26.46
1995-10-31,26.3
1995-09-30,26.25
1995-08-31,26.17
1995-07-31,26.1
1995-06-30,25.96
1995-05-31,25.88
1995-04-30,25.81
1995-03-31,25.77
1995-02-28,25.86
1995-01-31,25.96
1994-12-31,26.07
1994-11-30,25.9
1994-10-31,25.77
1994-09-30,25.63
1994-08-31,25.64
1994-07-31,25.68
1994-06-30,25.69
1994-05-31,25.7
1994-04-30,25.63
1994-03-31,25.58
1994-02-28,25.58
1994-01-31,25.58
1993-12-31,25.56
1993-11-30,25.52
1993-10-31,25.5
1993-09-30,25.56
1993-08-31,25.62
1993-07-31,25.69
1993-06-30,25.69
1993-05-31,25.7
1993-04-30,25.71
1993-03-31,25.75
1993-02-28,25.77
1993-01-31,25.8
1992-12-31,25.86
1992-11-30,25.85
1992-10-31,25.89
1992-09-30,25.99
1992-08-31,26.01
1992-07-31,26.03
1992-06-30,26.04
1992-05-31,26.13
1992-04-30,26.17
1992-03-31,26.21
1992-02-29,26.26
1992-01-31,26.27
1991-12-31,26.22
1991-11-30,26.29
1991-10-31,26.42
1991-09-30,26.51
1991-08-31,26.53
1991-07-31,26.52
1991-06-30,26.46
1991-05-31,26.51
1991-04-30,26.56
1991-03-31,26.58
1991-02-28,26.6
1991-01-31,26.62
1990-12-31,26.76
1990-11-30,26.58
1990-10-31,26.45
1990-09-30,26.42
1990-08-31,26.51
1990-07-31,26.63
1990-06-30,26.6
1990-05-31,26.48
1990-04-30,26.28
1990-03-31,26.05
1990-02-28,25.99
1990-01-31,25.91
1989-12-31,25.97
1989-11-30,25.76
1989-10-31,25.57
1989-09-30,25.44
1989-08-31,25.23
1989-07-31,24.98
1989-06-30,24.75
1989-05-31,24.53
1989-04-30,24.38
1989-03-31,24.25
1989-02-28,24.18
1989-01-31,24.07
1988-12-31,23.97
1988-11-30,23.74
1988-10-31,23.54
1988-09-30,23.4
1988-08-31,23.36
1988-07-31,23.27
1988-06-30,23.17
1988-05-31,23.04
1988-04-30,22.88
1988-03-31,22.76
1988-02-29,22.74
1988-01-31,22.68
1987-12-31,22.62
1987-11-30,22.49
1987-10-31,22.38
1987-09-30,22.31
1987-08-31,22.31
1987-07-31,22.3
1987-06-30,22.24
1987-05-31,22.16
1987-04-30,22.08
1987-03-31,22.04
1987-02-28,22.09
1987-01-31,22.11
1986-12-31,22.2
1986-11-30,22.18
1986-10-31,22.15
1986-09-30,22.13
1986-08-31,22.11
1986-07-31,22.03
1986-06-30,21.92
1986-05-31,21.96
1986-04-30,21.95
1986-03-31,21.84
1986-02-28,21.63
1986-01-31,21.46
1985-12-31,21.41
1985-11-30,21.42
1985-10-31,21.42
1985-09-30,21.45
1985-08-31,21.42
1985-07-31,21.36
1985-06-30,21.31
1985-05-31,21.3
1985-04-30,21.3
1985-03-31,21.33
1985-02-28,21.29
1985-01-31,21.27
1984-12-31,21.19
1984-11-30,21.05
1984-10-31,20.91
1984-09-30,20.82
1984-08-31,20.86
1984-07-31,20.87
1984-06-30,20.89
1984-05-31,20.82
1984-04-30,20.76
1984-03-31,20.73
1984-02-29,20.69
1984-01-31,20.7
1983-12-31,20.74
1983-11-30,20.67
1983-10-31,20.62
1983-09-30,20.6
1983-08-31,20.64
1983-07-31,20.64
1983-06-30,20.66
1983-05-31,20.7
1983-04-30,20.79
1983-03-31,20.91
1983-02-28,20.87
1983-01-31,20.85
1982-12-31,20.85
1982-11-30,20.75
1982-10-31,20.69
