Date,Price,Open,High,Low,Vol.,Change %
07-Sep-22,1.3112,1.3156,1.3209,1.3111,90.01K,-0.30%
06-Sep-22,1.3152,1.3142,1.3171,1.3096,84.89K,0.08%
05-Sep-22,1.3141,1.3128,1.3175,1.3123,62.57K,0.07%
02-Sep-22,1.3132,1.3155,1.3171,1.3074,80.10K,-0.15%
01-Sep-22,1.3152,1.3133,1.3209,1.3125,86.41K,0.19%
31-Aug-22,1.3127,1.3093,1.3142,1.3062,87.40K,0.27%
30-Aug-22,1.3092,1.3012,1.311,1.2971,80.64K,0.62%
29-Aug-22,1.3011,1.303,1.3077,1.2989,72.18K,-0.17%
26-Aug-22,1.3033,1.2924,1.3045,1.2903,69.10K,0.84%
25-Aug-22,1.2924,1.2967,1.2977,1.2895,71.12K,-0.32%
24-Aug-22,1.2965,1.2953,1.3019,1.2953,71.91K,0.10%
23-Aug-22,1.2952,1.3057,1.3065,1.2932,70.32K,-0.80%
22-Aug-22,1.3057,1.2997,1.3062,1.297,66.21K,0.49%
19-Aug-22,1.2993,1.2951,1.301,1.2943,67.32K,0.36%
18-Aug-22,1.2947,1.2911,1.2968,1.288,73.30K,0.29%
17-Aug-22,1.2909,1.2846,1.2938,1.2826,76.70K,0.51%
16-Aug-22,1.2844,1.2907,1.293,1.283,67.62K,-0.46%
15-Aug-22,1.2904,1.277,1.2936,1.2769,62.60K,1.03%
12-Aug-22,1.2773,1.2769,1.2804,1.2738,65.19K,0.09%
11-Aug-22,1.2761,1.2773,1.2793,1.2727,71.50K,-0.09%
10-Aug-22,1.2773,1.2888,1.2897,1.275,66.57K,-0.89%
09-Aug-22,1.2888,1.2859,1.2902,1.2843,65.71K,0.26%
08-Aug-22,1.2854,1.2932,1.2952,1.2838,67.72K,-0.59%
05-Aug-22,1.293,1.2865,1.2986,1.2861,72.27K,0.51%
04-Aug-22,1.2864,1.2845,1.2878,1.2817,74.13K,0.20%
03-Aug-22,1.2838,1.2883,1.2893,1.2831,79.36K,-0.33%
02-Aug-22,1.288,1.2845,1.2888,1.2832,88.42K,0.27%
01-Aug-22,1.2845,1.2815,1.2858,1.2766,74.96K,0.41%
29-Jul-22,1.2793,1.2807,1.2856,1.2788,79.24K,-0.09%
28-Jul-22,1.2804,1.2825,1.2871,1.2794,80.93K,-0.13%
27-Jul-22,1.2821,1.2888,1.2913,1.2808,77.40K,-0.49%
26-Jul-22,1.2884,1.2849,1.2903,1.2815,75.04K,0.28%
25-Jul-22,1.2848,1.2916,1.2947,1.2834,78.34K,-0.51%
22-Jul-22,1.2914,1.2869,1.2929,1.2823,82.15K,0.37%
21-Jul-22,1.2867,1.2882,1.2938,1.2859,85.47K,-0.13%
20-Jul-22,1.2884,1.2871,1.2908,1.2853,83.18K,0.12%
19-Jul-22,1.2869,1.2981,1.2991,1.2867,84.33K,-0.84%
18-Jul-22,1.2978,1.3024,1.303,1.2897,82.66K,-0.40%
15-Jul-22,1.303,1.312,1.3137,1.3012,85.71K,-0.66%
14-Jul-22,1.3117,1.2974,1.3225,1.2967,101.69K,1.13%
13-Jul-22,1.2971,1.3023,1.3062,1.2936,94.33K,-0.38%
