Date,Open,High,Low,Close,Adj Close,Volume
1985-01-01,7.830000,8.050000,7.620000,8.050000,8.050000,0
1985-02-01,8.190000,8.500000,8.120000,8.500000,8.500000,0
1985-03-01,8.660000,8.800000,8.180000,8.180000,8.180000,0
1985-04-01,8.150000,8.220000,7.670000,7.850000,7.850000,0
1985-05-01,7.750000,7.820000,7.140000,7.140000,7.140000,0
1985-06-01,7.020000,7.230000,6.660000,6.830000,6.830000,0
1985-07-01,6.870000,7.280000,6.770000,7.280000,7.280000,0
1985-08-01,7.270000,7.310000,7.030000,7.140000,7.140000,0
1985-09-01,7.110000,7.260000,6.840000,7.040000,7.040000,0
1985-10-01,7.030000,7.250000,6.980000,7.190000,7.190000,0
1985-11-01,7.200000,7.350000,7.160000,7.160000,7.160000,0
1985-12-01,7.260000,7.260000,6.940000,7.050000,7.050000,0
1986-01-01,7.100000,7.240000,6.920000,6.970000,6.970000,0
1986-02-01,7.000000,7.210000,6.980000,7.020000,7.020000,0
1986-03-01,6.970000,6.970000,6.340000,6.340000,6.340000,0
1986-04-01,6.330000,6.340000,5.770000,6.100000,6.100000,0
1986-05-01,6.110000,6.300000,6.040000,6.300000,6.300000,0
1986-06-01,6.360000,6.520000,5.960000,5.960000,5.960000,0
1986-07-01,5.990000,6.000000,5.710000,5.790000,5.790000,0
1986-08-01,5.770000,5.770000,5.170000,5.170000,5.170000,0
1986-09-01,5.190000,5.260000,5.120000,5.200000,5.200000,0
1986-10-01,5.190000,5.310000,5.040000,5.200000,5.200000,0
1986-11-01,5.210000,5.420000,5.210000,5.390000,5.390000,0
1986-12-01,5.420000,5.690000,5.400000,5.670000,5.670000,0
1987-01-01,5.550000,5.600000,5.300000,5.600000,5.600000,0
1987-02-01,5.610000,5.860000,5.430000,5.450000,5.450000,0
1987-03-01,5.480000,5.690000,5.480000,5.610000,5.610000,0
1987-04-01,5.540000,6.020000,5.420000,5.530000,5.530000,0
1987-05-01,5.600000,5.950000,5.500000,5.680000,5.680000,0
1987-06-01,5.700000,5.840000,5.480000,5.730000,5.730000,0
1987-07-01,5.640000,6.070000,5.550000,6.070000,6.070000,0
1987-08-01,6.050000,6.310000,5.740000,6.250000,6.250000,0
1987-09-01,6.120000,6.690000,6.090000,6.610000,6.610000,0
1987-10-01,6.630000,7.190000,5.030000,5.270000,5.270000,0
1987-11-01,5.620000,5.910000,5.210000,5.210000,5.210000,0
1987-12-01,5.550000,5.940000,5.360000,5.680000,5.680000,0
1988-01-01,5.880000,5.960000,5.640000,5.640000,5.640000,0
1988-02-01,5.660000,5.750000,5.590000,5.620000,5.620000,0
1988-03-01,5.620000,5.830000,5.600000,5.710000,5.710000,0
1988-04-01,5.850000,6.050000,5.740000,5.980000,5.980000,0
1988-05-01,6.080000,6.440000,6.080000,6.430000,6.430000,0
1988-06-01,6.470000,6.600000,6.290000,6.560000,6.560000,0
1988-07-01,6.550000,7.000000,6.530000,6.950000,6.950000,0
1988-08-01,6.910000,7.330000,6.840000,7.300000,7.300000,0
1988-09-01,7.280000,7.340000,7.130000,7.250000,7.250000,0
1988-10-01,7.240000,7.510000,7.220000,7.360000,7.360000,0
1988-11-01,7.340000,8.030000,7.340000,7.830000,7.830000,0
1988-12-01,7.850000,8.260000,7.850000,8.100000,8.100000,0
1989-01-01,8.140000,8.390000,8.140000,8.390000,8.390000,0
1989-02-01,8.370000,8.710000,8.370000,8.710000,8.710000,0
1989-03-01,8.660000,9.100000,8.570000,8.900000,8.900000,0
1989-04-01,8.820000,8.840000,8.410000,8.410000,8.410000,0
1989-05-01,8.620000,8.620000,8.210000,8.610000,8.610000,0
1989-06-01,8.610000,8.610000,7.950000,7.990000,7.990000,0
1989-07-01,7.970000,8.120000,7.730000,7.800000,7.800000,0
